Census year,Construction year,Number of floors (above ground),Predominant space use,x,y,Latitude,longitude
2017,1900,1,House/Townhouse,144.928,-37.7901,-37.79014959,144.9280394
2017,,2,House/Townhouse,144.958,-37.7844,-37.78441993,144.9580356
2017,1900,1,House/Townhouse,144.9332,-37.7902,-37.79024243,144.9332323
2017,1889,1,House/Townhouse,144.9318,-37.7934,-37.79343163,144.9318054
2017,,3,House/Townhouse,144.9764,-37.8168,-37.81677449,144.9764064
2017,,2,House/Townhouse,144.9864,-37.8334,-37.83342719,144.9863774
2017,1900,1,House/Townhouse,144.9317,-37.7891,-37.78914611,144.9316562
2017,1900,1,House/Townhouse,144.9283,-37.794,-37.79401035,144.9283456
2017,1900,1,House/Townhouse,144.932,-37.7904,-37.79036267,144.9319992
2017,,1,House/Townhouse,144.9529,-37.8007,-37.80073124,144.9528816
2017,1900,1,House/Townhouse,144.9342,-37.7894,-37.78937834,144.9342222
2017,1900,1,House/Townhouse,144.9334,-37.7914,-37.79136955,144.933444
2017,1900,2,House/Townhouse,144.9426,-37.7905,-37.79048522,144.942618
2017,2000,2,Office,144.945,-37.8022,-37.80218369,144.9449809
2017,1900,1,House/Townhouse,144.9263,-37.7923,-37.79230695,144.9263144
2017,1900,1,House/Townhouse,144.9262,-37.7907,-37.79074989,144.9261594
2017,1900,1,House/Townhouse,144.9338,-37.7896,-37.78962589,144.9338315
2017,,3,House/Townhouse,144.9766,-37.8166,-37.81656336,144.976551
2017,,1,House/Townhouse,144.9242,-37.7954,-37.79535369,144.9242141
2017,1900,1,House/Townhouse,144.9323,-37.7936,-37.79364938,144.932275
2017,1915,1,House/Townhouse,144.929,-37.7917,-37.79166883,144.9289919
2017,1990,2,House/Townhouse,144.9262,-37.7901,-37.79014343,144.9262215
2017,1990,2,House/Townhouse,144.9251,-37.7908,-37.79079422,144.9250823
2017,1900,1,House/Townhouse,144.9294,-37.7914,-37.79141728,144.9293604
2017,2001,2,House/Townhouse,144.9347,-37.7914,-37.79139148,144.9346596
2017,1900,1,House/Townhouse,144.9269,-37.7919,-37.79193862,144.9268904
2017,1900,1,House/Townhouse,144.9328,-37.7925,-37.79253821,144.9327794
2017,1900,1,House/Townhouse,144.9327,-37.7889,-37.78894193,144.9326581
2017,1900,1,House/Townhouse,144.9307,-37.7922,-37.79219941,144.9307202
2017,1997,2,House/Townhouse,144.924,-37.7888,-37.78878556,144.9240481
2017,1876,2,Office,144.9684,-37.7975,-37.79752927,144.9683843
2017,1900,1,House/Townhouse,144.9296,-37.7926,-37.79258042,144.929607
2017,1900,1,House/Townhouse,144.932,-37.7922,-37.7922466,144.9319922
2017,1960,1,House/Townhouse,144.9339,-37.7914,-37.79143596,144.9339198
2017,1900,1,House/Townhouse,144.9288,-37.7903,-37.79032789,144.9287835
2017,,2,House/Townhouse,144.9399,-37.7764,-37.77643815,144.9399163
2017,1992,2,House/Townhouse,144.9254,-37.7886,-37.78863741,144.925369
2017,1900,1,House/Townhouse,144.9286,-37.7929,-37.79286682,144.9285695
2017,1991,2,House/Townhouse,144.9253,-37.7896,-37.78964781,144.9253489
2017,,3,House/Townhouse,144.951,-37.8015,-37.80150105,144.951015
2017,1900,2,House/Townhouse,144.9343,-37.7892,-37.78919818,144.9342571
2017,1925,1,House/Townhouse,144.9324,-37.7897,-37.7896994,144.9323701
2017,1900,1,House/Townhouse,144.9327,-37.7897,-37.789729,144.9326518
2017,1960,1,House/Townhouse,144.9282,-37.794,-37.79399418,144.9282027
2017,1900,1,House/Townhouse,144.9275,-37.7915,-37.79152888,144.9274701
2017,1900,1,House/Townhouse,144.9336,-37.7918,-37.79181897,144.93363
2017,2012,3,House/Townhouse,144.9369,-37.8225,-37.82250245,144.9369463
2017,1900,1,House/Townhouse,144.9275,-37.792,-37.7920209,144.9274589
2017,,1,House/Townhouse,144.9426,-37.8026,-37.80260402,144.942643
2017,1900,1,House/Townhouse,144.9255,-37.7912,-37.79115788,144.9255046
2017,1895,1,House/Townhouse,144.9317,-37.7938,-37.79380949,144.9317352
2017,1900,1,House/Townhouse,144.9327,-37.7911,-37.79108927,144.932702
2017,1995,2,House/Townhouse,144.9278,-37.7892,-37.78919282,144.9277986
2017,1910,1,House/Townhouse,144.9401,-37.7905,-37.79052962,144.94011
2017,1919,2,Office,144.9618,-37.8006,-37.80058762,144.961807
2017,1900,2,House/Townhouse,144.935,-37.7915,-37.79150092,144.9350408
2017,,2,Retail - Shop,144.9646,-37.8179,-37.81793197,144.9645504
2017,2011,3,House/Townhouse,144.9391,-37.8232,-37.82322566,144.9390511
2017,1900,1,House/Townhouse,144.9334,-37.7914,-37.79136115,144.9333635
2017,1900,1,House/Townhouse,144.9334,-37.7895,-37.78953609,144.9333843
2017,1900,1,House/Townhouse,144.9413,-37.7906,-37.79063259,144.941267
2017,1900,1,House/Townhouse,144.928,-37.7905,-37.79051927,144.9280497
2017,1900,1,House/Townhouse,144.9264,-37.7917,-37.79174987,144.92637
2017,1935,1,House/Townhouse,144.9308,-37.7925,-37.79248014,144.9307658
2017,1900,1,House/Townhouse,144.9314,-37.7934,-37.79336227,144.93143
2017,1935,2,Office,144.9654,-37.8224,-37.8224397,144.9653691
2017,2011,3,House/Townhouse,144.9379,-37.8158,-37.81584556,144.9379498
2017,1910,2,House/Townhouse,144.9255,-37.7914,-37.79144898,144.9254748
2017,1870,2,Unoccupied - Unused,144.966,-37.804,-37.80403009,144.966044
2017,1960,1,House/Townhouse,144.9326,-37.7893,-37.78925362,144.9325999
2017,1940,1,House/Townhouse,144.9305,-37.7899,-37.78994147,144.9305299
2017,1875,2,Office,144.9676,-37.804,-37.80395149,144.9676097
2017,1910,1,House/Townhouse,144.9261,-37.7916,-37.79159804,144.9260553
2017,1953,2,Storage,144.9555,-37.8202,-37.82024898,144.9555214
2017,1900,1,House/Townhouse,144.9417,-37.7906,-37.79063375,144.9416822
2017,1970,1,Storage,144.9335,-37.7972,-37.79716179,144.9334712
2017,1900,1,House/Townhouse,144.9281,-37.7923,-37.79225423,144.9280609
2017,1900,1,House/Townhouse,144.9291,-37.7927,-37.79268006,144.929136
2017,1900,1,House/Townhouse,144.9292,-37.7932,-37.79322514,144.9292116
2017,1900,1,House/Townhouse,144.9311,-37.7909,-37.79085904,144.9310739
2017,,3,House/Townhouse,144.9451,-37.8077,-37.8077297,144.9450529
2017,1996,2,House/Townhouse,144.9239,-37.7891,-37.78907015,144.9239319
2017,1905,2,House/Townhouse,144.9313,-37.7941,-37.79407693,144.9312985
2017,1900,1,House/Townhouse,144.928,-37.7934,-37.79340212,144.9280019
2017,1900,1,House/Townhouse,144.9266,-37.7916,-37.79163703,144.9265513
2017,1970,2,Educational/Research,144.9856,-37.8348,-37.8348455,144.9855658
2017,1994,2,House/Townhouse,144.9342,-37.7913,-37.79131915,144.9342393
2017,1900,1,House/Townhouse,144.9315,-37.7932,-37.79315865,144.9314675
2017,1900,1,House/Townhouse,144.9413,-37.7906,-37.79064027,144.9413424
2017,1900,1,House/Townhouse,144.9283,-37.7932,-37.79319987,144.9282686
2017,1993,2,House/Townhouse,144.9256,-37.7886,-37.78861199,144.9255991
2017,1900,1,House/Townhouse,144.9266,-37.7916,-37.79160234,144.9266186
2017,1900,1,House/Townhouse,144.934,-37.7907,-37.79071487,144.9339674
2017,1872,2,Office,144.9679,-37.8065,-37.80647963,144.9678822
2017,1971,2,Office,144.9381,-37.7964,-37.7964401,144.9380977
2017,1895,1,House/Townhouse,144.9317,-37.7939,-37.79390461,144.9317175
2017,1900,2,House/Townhouse,144.9285,-37.7923,-37.79227109,144.9285209
2017,1900,1,House/Townhouse,144.9285,-37.7938,-37.7937617,144.9285029
2017,1900,2,House/Townhouse,144.9285,-37.7924,-37.7923608,144.9285277
2017,2010,2,House/Townhouse,144.9345,-37.7903,-37.79029324,144.93454
2017,1997,2,House/Townhouse,144.9277,-37.7891,-37.78905512,144.9277202
2017,1920,2,House/Townhouse,144.9313,-37.7942,-37.79415282,144.9312843
2017,1900,1,House/Townhouse,144.9414,-37.7906,-37.79059588,144.9414155
2017,1900,1,House/Townhouse,144.9328,-37.7908,-37.79076705,144.9327622
2017,1900,1,House/Townhouse,144.9323,-37.7937,-37.79374158,144.9322577
2017,1900,1,House/Townhouse,144.9275,-37.7917,-37.79165545,144.9274673
2017,,2,House/Townhouse,144.9708,-37.8,-37.79998402,144.9708289
2017,1856,2,House/Townhouse,144.9485,-37.8031,-37.80311046,144.9484732
2017,1900,1,House/Townhouse,144.9337,-37.7922,-37.7922397,144.9337026
2017,1900,1,House/Townhouse,144.9308,-37.7929,-37.79288636,144.9308262
2017,1900,1,House/Townhouse,144.9262,-37.7912,-37.79119601,144.926193
2017,1990,2,Office,144.9543,-37.8042,-37.80421464,144.9542642
2017,1900,1,House/Townhouse,144.933,-37.7895,-37.78948011,144.9330495
2017,1900,1,House/Townhouse,144.9339,-37.7893,-37.78925255,144.9339036
2017,2010,2,House/Townhouse,144.9202,-37.7935,-37.7934875,144.9202065
2017,1988,1,House/Townhouse,144.9413,-37.7901,-37.79012857,144.9413189
2017,,1,Unoccupied - Unused,144.9513,-37.8038,-37.80377512,144.9513073
2017,,1,House/Townhouse,144.9242,-37.7953,-37.79530256,144.9241674
2017,1900,1,House/Townhouse,144.9296,-37.7924,-37.79236207,144.9295626
2017,1891,3,Storage,144.9668,-37.8117,-37.81169501,144.9667987
2017,1900,1,House/Townhouse,144.9332,-37.7906,-37.79055212,144.9331518
2017,1900,2,House/Townhouse,144.9281,-37.7917,-37.7916973,144.9280559
2017,1905,1,House/Townhouse,144.9324,-37.7924,-37.79242564,144.9324491
2017,1995,2,House/Townhouse,144.9302,-37.79,-37.78999432,144.9301831
2017,1990,2,House/Townhouse,144.9249,-37.7899,-37.78992121,144.924929
2017,1900,1,House/Townhouse,144.929,-37.7914,-37.79141985,144.9289546
2017,,1,Workshop/Studio,144.949,-37.8012,-37.8012216,144.9490339
2017,1900,1,House/Townhouse,144.9425,-37.7906,-37.79055957,144.9425313
2017,1900,1,House/Townhouse,144.9289,-37.7909,-37.79089038,144.9288769
2017,1925,1,House/Townhouse,144.9336,-37.7906,-37.79063283,144.9336259
2017,1975,2,Office,144.9348,-37.7891,-37.78906269,144.9347902
2017,1900,1,House/Townhouse,144.929,-37.792,-37.7920096,144.9290413
2017,1900,1,House/Townhouse,144.9268,-37.7912,-37.79122792,144.9267614
2017,1989,2,House/Townhouse,144.9245,-37.7892,-37.78918738,144.9244712
2017,1986,2,Office,144.9594,-37.8028,-37.80283685,144.9593722
2017,1997,2,House/Townhouse,144.9237,-37.789,-37.78896143,144.9237272
2017,1900,1,House/Townhouse,144.9331,-37.7898,-37.78977329,144.9330803
2017,,2,House/Townhouse,144.9401,-37.7761,-37.7760731,144.9401362
2017,,13,Residential Apartment,144.9694,-37.7948,-37.79475022,144.9694177
