Census year,Property ID,Base property ID,Street address,CLUE small area,Construction year,Predominant space use,x coordinate,y coordinate
2014,615617,615617,10 Collett Street,Kensington,1900,Residential,144.9335,-37.7892
2014,617835,617835,1 Watsons Walk,Kensington,1989,Residential,144.925,-37.7908
2014,106111,106111,197 Lygon Street,Carlton,1890,Retail,144.9666,-37.801
2014,615670,615670,38 Smith Street,Kensington,1900,Residential,144.9333,-37.7918
2014,617020,617020,140 Bellair Street,Kensington,1900,Residential,144.9296,-37.7927
2014,627683,627683,47 South Wharf Drive,Docklands,2011,Residential,144.9382,-37.8227
2014,618675,618675,15 Berry Street,East Melbourne,,Residential,144.9883,-37.8188
2014,614185,614185,18 Willam Street,Parkville,,Residential,144.9401,-37.7761
2014,590042,590042,23-25 Leveson Street,North Melbourne,,Residential,144.9507,-37.8044
2014,111270,104201,4 Gatehouse Drive,Kensington,2007,Retail,144.9194,-37.7917
2014,614962,614962,32 Parsons Street,Kensington,1900,Residential,144.933,-37.7902
2014,615547,615547,65 Barnett Street,Kensington,1900,Residential,144.9323,-37.7935
2014,618155,618155,13 Deveney Street,Kensington,1993,Residential,144.9273,-37.7891
2014,614581,614581,58-60 Bellair Street,Kensington,1910,Residential,144.9292,-37.7904
2014,637398,637398,9 Stokehold Mews,Docklands,2012,Residential,144.9372,-37.8226
2014,615632,615632,62 Epsom Road,Kensington,1910,Residential,144.9256,-37.7915
2014,617838,617838,4 Watsons Walk,Kensington,1989,Residential,144.9249,-37.791
2014,615028,615028,14 Mulgrave Street,Kensington,1900,Residential,144.931,-37.7909
2014,579421,579421,117 Abbotsford Street,West Melbourne (Residential),2003,Residential,144.9448,-37.8049
2014,102649,102649,149 Drummond Street,Carlton,1870,Public,144.9677,-37.8031
2014,616405,616405,3 Hopetoun Street,Kensington,1900,Residential,144.9272,-37.7919
2014,104671,106681,24 Hardwicke Street,North Melbourne,,Residential,144.9479,-37.7979
2014,614849,614849,63-67 McConnell Street,Kensington,1900,Residential,144.929,-37.792
2014,615883,615883,61 Market Street,Kensington,1900,Residential,144.9267,-37.7904
2014,626936,626936,56 Shiel Street,North Melbourne,,Residential,144.9427,-37.7963
2014,110630,110630,9-15 Moray Street,Southbank,1936,Commercial,144.9608,-37.8268
2014,617918,617918,66 Market Street,Kensington,1990,Residential,144.9257,-37.7904
2014,627727,627727,5 Canal Mews,Docklands,2011,Residential,144.9391,-37.8231
2014,615606,615606,4 Collett Street,Kensington,1900,Residential,144.9335,-37.789
2014,614856,614856,64 Bellair Street,Kensington,1900,Residential,144.9292,-37.7906
2014,614685,614685,2 Smith Street,Kensington,2005,Residential,144.9308,-37.7914
2014,616005,616005,8 Pridham Street,Kensington,2001,Residential,144.9307,-37.789
2014,107763,107763,6-10 Provost Street,North Melbourne,1960,Commercial,144.9477,-37.8019
2014,103143,103143,146-154 Elgin Street,Carlton,1883,Commercial,144.9696,-37.7971
2014,616121,616121,39 Lambeth Street,Kensington,1890,Residential,144.9345,-37.7904
2014,100186,100186,53-59 Adams Street,South Yarra,,Residential,144.9772,-37.8356
2014,615556,615556,5 Nottingham Street,Kensington,1900,Residential,144.9331,-37.789
2014,615152,615152,13-15 Barnett Street,Kensington,1900,Residential,144.9328,-37.7908
2014,614891,614891,48 Lambeth Street,Kensington,1900,Residential,144.9339,-37.7909
2014,614662,614662,71 Smith Street,Kensington,1900,Residential,144.935,-37.7915
2014,103162,103162,60 Elgin Street,Carlton,1870,Commercial,144.9726,-37.7974
2014,615810,615810,15 Parsons Street,Kensington,1925,Residential,144.9324,-37.7897
2014,615672,615672,57 Collett Street,Kensington,1985,Residential,144.9334,-37.792
2014,615961,615961,1 Eastwood Street,Kensington,1900,Residential,144.9299,-37.7887
2014,615790,615790,23 Pridham Street,Kensington,1900,Residential,144.9312,-37.7895
2014,617856,617856,62 Market Street,Kensington,1990,Residential,144.9258,-37.7903
2014,615787,615787,17 Pridham Street,Kensington,1900,Residential,144.9313,-37.7893
2014,615319,615319,44 Rankins Road,Kensington,1945,Residential,144.9315,-37.7902
2014,590038,590038,4A Raglan Street,North Melbourne,,Residential,144.9504,-37.8043
2014,500407,100180,9 Adams Street,South Yarra,,Residential,144.9771,-37.8367
2014,618105,618105,28 Liddy Street,Kensington,1991,Residential,144.9258,-37.7896
2014,102628,102628,95 Drummond Street,Carlton,1891,Commercial,144.9673,-37.8045
2014,105819,105819,12 Lothian Street,North Melbourne,1970,Retail,144.9446,-37.8037
2014,614963,614963,46 Barnett Street,Kensington,1900,Residential,144.932,-37.7922
2014,593689,593689,4 Stedeford Lane,North Melbourne,,Residential,144.9519,-37.8037
2014,108195,108195,391-395 Rathdowne Street,Carlton,1990,Commercial,144.9703,-37.7971
2014,614813,614813,22 McConnell Street,Kensington,1900,Residential,144.9284,-37.7905
2014,616929,616929,2B Wight Street,Kensington,1997,Residential,144.9294,-37.7934
